yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
34852022,3485,2022,GA0070100,GA0070100,,N,N,,I,WINDER,WINDER PD,Winder,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,19401,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,0,24,4,7,11,1.4,1.8,2018-01-01,2019-11-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,BARROW,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
34882022,3488,2022,GA0080000,GA0080000,,N,N,,I,BARTOW,BARTOW CO SO CARTERSVILLE,Bartow,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,77220,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,130,6,136,39,31,70,2.2,2.7,2018-01-01,2020-01-01,2020-01-01,2020-03-01,2020-03-01,2020-03-01,N,BARTOW,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
34892022,3489,2022,GA0080100,GA0080100,,N,N,,I,CARTERSVILLE,CARTERSVILLE PD,Cartersville,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,23293,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,40,3,43,8,7,15,2.1,2.5,2018-01-01,2018-12-01,2018-12-01,2019-07-01,2019-07-01,2021-06-01,N,BARTOW,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
34902022,3490,2022,GA0080200,GA0080200,,N,N,,I,ADAIRSVILLE,ADAIRSVILLE PD,Adairsville,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,5063,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,0,17,1,2,3,3.6,4.0,2018-01-01,2018-11-01,2018-11-01,2019-03-01,2019-03-01,2019-03-01,N,BARTOW,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
34912022,3491,2022,GA0080300,GA0080300,,N,N,,I,KINGSTON,KINGSTON PD,Kingston,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,750,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,1,1,2.7,4.0,2018-01-01,2019-08-01,2019-08-01,2020-09-01,2020-09-01,2020-09-01,N,BARTOW,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
34922022,3492,2022,GA0080500,GA0080500,,N,N,,I,WHITE,WHITE,White,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,661,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,4.5,4.5,2018-01-01,2022-09-01,,,,,N,BARTOW,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
34932022,3493,2022,GA0080600,GA0080600,,N,N,,I,EMERSON,EMERSON PD EMERSON,Emerson,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,1451,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,10,0,10,1,1,2,7.6,8.3,2018-01-01,2019-01-01,2019-01-01,2019-07-01,2019-07-01,2019-07-01,N,BARTOW,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
34942022,3494,2022,GA0080700,GA0080700,,N,N,,I,EUHARLEE,EUHARLEE POLICE DEPARTMENT KINGSTON,Euharlee,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,4345,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,1,10,2,2,4,2.5,3.2,2018-01-01,2020-02-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,N,BARTOW,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
34952022,3495,2022,GA0090000,GA0090000,,N,N,,I,BEN HILL,BEN HILL CO SO FITZGERALD,Ben Hill,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,8262,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,22,6,28,2,17,19,2.9,5.7,2018-01-01,2019-06-01,2019-06-01,2020-04-01,2020-04-01,2020-04-01,N,BEN HILL,Not Specified,Y,Y,Y
34962022,3496,2022,GA0090100,GA0090100,,N,N,,I,FITZGERALD,FITZGERALD PD,Fitzgerald,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,8960,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,22,4,26,1,6,7,2.6,3.7,2018-01-01,2019-10-01,2019-10-01,2020-08-01,2020-07-01,2020-07-01,N,BEN HILL,Not Specified,Y,Y,Y
34972022,3497,2022,GA0100000,GA0100000,,N,N,,I,BERRIEN,BERRIEN CO SO NASHVILLE,Berrien,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,10843,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,25,11,36,2,8,10,2.5,4.2,2018-01-01,2019-10-01,2019-10-01,2019-12-01,2019-12-01,2019-12-01,N,BERRIEN,Not Specified,Y,Y,Y
34982022,3498,2022,GA0100100,GA0100100,,N,N,,I,NASHVILLE,NASHVILLE PD,Nashville,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,4830,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,0,16,0,3,3,3.3,3.9,2018-01-01,2019-02-01,2019-02-01,2019-12-01,2019-12-01,2019-12-01,N,BERRIEN,Not Specified,Y,Y,Y
34992022,3499,2022,GA0100200,GA0100200,,N,N,,I,ALAPAHA,ALAPAHA PD,Alapaha,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,479,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,4.2,4.2,2018-01-01,2018-12-01,2018-12-01,2019-11-01,2019-06-01,,N,BERRIEN,Not Specified,Y,Y,Y
35012022,3501,2022,GA0100400,GA0100400,,N,N,,I,ENIGMA,ENIGMA PD,Enigma,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,1066,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,1,1,2.8,3.8,2018-01-01,2020-11-01,2020-11-01,2021-07-01,2021-07-01,2021-07-01,N,BERRIEN,Not Specified,Y,Y,Y
35022022,3502,2022,GA0110000,GA0110000,,N,N,,I,BIBB,BIBB CO SO MACON,Bibb,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,156960,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,193,51,244,41,132,173,1.5,2.7,2018-01-01,2019-02-01,2019-02-01,2020-05-01,2020-05-01,2020-05-01,N,BIBB,"Macon-Bibb County, GA",Y,Y,Y
35042022,3504,2022,GA0110200,GA0110200,,N,N,,I,GA FORESTRY COMMISSION,GA FORESTRY COMMISSION MACON,Georgia Forestry Commission,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,Other State Agency,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,5,0,5,1,1,2,0,0,2018-01-01,2019-09-01,2019-09-01,2020-03-01,2020-03-01,2020-03-01,N,BIBB,"Macon-Bibb County, GA",Y,Y,Y
35062022,3506,2022,GA0110400,GA0110400,,N,N,,I,BIBB CO BOARD OF EDUCAT,BIBB CO BOARD OF ED CAMPUS POLICE DEPT MACON,Bibb County Board of Education,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,Other,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,14,0,14,5,6,11,0,0,2018-01-01,2019-10-01,2019-10-01,2019-11-01,2019-11-01,2020-01-01,N,BIBB,"Macon-Bibb County, GA",Y,Y,Y
35072022,3507,2022,GA011099E,GA0110900,,N,N,,I,MERCER UNIVERSITY,MERCER UNIV DPS CAMPUS SECURITY MACON,Mercer University,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,University or College,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,17,1,18,3,7,10,0,0,2018-01-01,2018-12-01,2018-12-01,2019-06-01,2019-06-01,2019-06-01,N,BIBB,"Macon-Bibb County, GA",Y,Y,Y
35102022,3510,2022,GA0120000,GA0120000,,N,N,,I,BLECKLEY,BLECKLEY CO SO COCHRAN,Bleckley,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,7604,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,16,11,27,1,14,15,2.2,5.5,2018-01-01,2019-09-01,2019-09-01,2019-10-01,2019-10-01,2019-10-01,N,BLECKLEY,Not Specified,Y,Y,Y
35112022,3511,2022,GA0120100,GA0120100,,N,N,,I,COCHRAN,COCHRAN PD,Cochran,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,5077,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,3,1,4,2.6,2.8,2018-01-01,2019-06-01,2019-06-01,2019-08-01,2019-08-01,2021-04-01,N,BLECKLEY,Not Specified,Y,Y,Y
35122022,3512,2022,GA0120200,GA0120200,,N,N,,I,MIDDLE GEORGIA ST UNIV,MIDDLE GA COLLEGE PUBLIC SAFETY DEPT COCHRAN,Middle Georgia State University,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,University or College,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,16,1,17,6,5,11,0,0,2018-01-01,2019-01-01,2019-01-01,2019-06-01,2019-06-01,2019-06-01,N,BLECKLEY,Not Specified,Y,Y,Y
35132022,3513,2022,GA0130000,GA0130000,,N,N,,I,BRANTLEY,BRANTLEY CO SO NAHUNTA,Brantley,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,16741,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,17,15,32,2,9,11,1.1,2.6,2018-01-01,2019-10-01,2019-10-01,2020-12-01,2020-12-01,2020-12-01,N,BRANTLEY,"Brunswick, GA",Y,Y,Y
35152022,3515,2022,GA0130200,GA0130200,,N,N,,I,HOBOKEN,HOBOKEN PD,Hoboken,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,484,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,1,0,1,0,2,2,2.1,6.2,2018-01-01,2020-01-01,,,,,N,BRANTLEY,"Brunswick, GA",Y,Y,Y
35162022,3516,2022,GA0140000,GA0140000,,N,N,,I,BROOKS,BROOKS CO SO QUITMAN,Brooks,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,11501,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,22,6,28,1,15,16,2.0,3.8,2018-01-01,2019-10-01,2019-10-01,2019-11-01,2019-11-01,2019-11-01,N,BROOKS,"Valdosta, GA",Y,Y,Y
35172022,3517,2022,GA0140100,GA0140100,,N,N,,I,QUITMAN,QUITMAN PD,Quitman,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,4097,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,0,8,2,2,4,2.4,2.9,2018-01-01,2022-01-01,2022-09-01,2022-09-01,2022-09-01,2022-09-01,N,BROOKS,"Valdosta, GA",Y,Y,Y
35192022,3519,2022,GA0150000,GA0150000,,N,N,,I,BRYAN,BRYAN CO SO PEMBROKE,Bryan,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,27981,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,45,12,57,8,30,38,1.9,3.4,2018-01-01,2019-10-01,2019-10-01,2019-11-01,2019-11-01,2019-11-01,N,BRYAN,"Savannah, GA",Y,Y,Y
35202022,3520,2022,GA0150100,GA0150100,,N,N,,I,PEMBROKE,PEMBROKE PD,Pembroke,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,2728,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2018-01-01,2019-10-01,2019-10-01,2020-03-01,2020-03-01,2020-03-01,N,BRYAN,"Savannah, GA",Y,Y,Y
35212022,3521,2022,GA0150200,GA0150200,,N,N,,I,RICHMOND HILL,RICHMOND HILL PD,Richmond Hill,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,18421,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,36,1,37,1,10,11,2.0,2.6,2018-01-01,2019-10-01,2019-10-01,2021-03-01,2021-03-01,2021-03-01,N,BRYAN,"Savannah, GA",Y,Y,Y
35222022,3522,2022,GA0160000,GA0160000,,N,N,,I,BULLOCH,BULLOCH CO SO STATESBORO,Bulloch,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,47537,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,14,8B,"Non-MSA counties from 25,000 thru 99,999",8,Non-MSA Counties,N,14,,Y,74,1,75,3,10,13,1.6,1.9,2018-01-01,2018-12-01,2018-12-01,2021-02-01,2021-02-01,2021-02-01,N,BULLOCH,Not Specified,Y,Y,Y
35232022,3523,2022,GA0160100,GA0160100,,N,N,,I,STATESBORO,STATESBORO PD,Statesboro,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,33590,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,55,0,55,8,18,26,1.9,2.4,2018-01-01,2019-11-01,2021-10-01,2021-10-01,2021-10-01,2021-10-01,N,BULLOCH,Not Specified,Y,Y,Y
35242022,3524,2022,GA0160200,GA0160200,,N,N,,I,BROOKLET,BROOKLET PD,Brooklet,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,2015,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,3,1,4,2.5,3.0,2018-01-01,2019-12-01,2019-12-01,2022-04-01,2020-11-01,2022-04-01,N,BULLOCH,Not Specified,Y,Y,Y
35262022,3526,2022,GA0160400,GA0160400,,N,N,,I,GA SOUTHERN UNIVERSITY,GEORGIA SOUTHERN UNIVERSITY PD STATESBORO,Georgia Southern University,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,University or College,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,33,7,40,13,12,25,0,0,2018-01-01,2019-09-01,2019-09-01,2019-11-01,2019-11-01,2019-11-01,N,BULLOCH,Not Specified,Y,Y,Y
35282022,3528,2022,GA0170000,GA0170000,,N,N,,I,BURKE,BURKE CO SO WAYNESBORO,Burke ,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,17115,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,69,22,91,11,31,42,4.7,7.8,2018-01-01,2019-09-01,2019-09-01,2019-11-01,2019-11-01,2021-07-01,N,BURKE,"Augusta-Richmond County, GA-SC",Y,Y,Y
35292022,3529,2022,GA0170100,GA0170100,,N,N,,I,WAYNESBORO,WAYNESBORO PD,Waynesboro,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,5576,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,0,16,3,3,6,3.4,3.9,2018-01-01,2019-09-01,2019-09-01,2019-11-01,2019-11-01,2019-11-01,N,BURKE,"Augusta-Richmond County, GA-SC",Y,Y,Y
35312022,3531,2022,GA0170300,GA0170300,,N,N,,I,SARDIS,SARDIS PD,Sardis,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,971,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2018-01-01,2020-01-01,2020-01-01,2021-02-01,2021-02-01,2022-10-01,N,BURKE,"Augusta-Richmond County, GA-SC",Y,Y,Y
35332022,3533,2022,GA0180000,GA0180000,,N,N,,I,BUTTS,BUTTS CO SO JACKSON,Butts,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,20443,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,21,9C,"MSA counties from 10,000 thru 24,999",9,MSA Counties,N,21,,Y,57,21,78,3,21,24,2.9,5.0,2018-01-01,2019-10-01,2019-10-01,2019-12-01,2019-12-01,2019-12-01,N,BUTTS,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
35342022,3534,2022,GA0180100,GA0180100,,N,N,,I,JACKSON,JACKSON PD,Jackson,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,5669,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2018-01-01,2019-10-01,2019-10-01,2021-08-01,2020-06-01,2020-06-01,N,BUTTS,"Atlanta-Sandy Springs-Alpharetta, GA",Y,Y,Y
35392022,3539,2022,GA0190200,GA0190200,,N,N,,I,EDISON,EDISON PD,Edison,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,1237,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,2,1,3,3.2,4.0,2018-01-01,2019-10-01,2019-10-01,2019-11-01,2019-11-01,2022-07-01,N,CALHOUN,Not Specified,Y,Y,Y
35402022,3540,2022,GA0190300,GA0190300,,N,N,,I,LEARY,LEARY PD,Leary,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,536,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2018-01-01,2022-01-01,,,,,N,CALHOUN,Not Specified,Y,Y,Y
